colecao;Identificacao;grupo;serie;subserie;tipologia;descricao;titutlo;titulo atribuido;data;data-periodo;;autoria;idioma;quantitade;local de producao;veiculo de publicacao;local de publicacao;tipo de publicacao;genero;forma;formato;escritura;suporte;dimensao;estado de conservacao;observacoes;documentos realcionados;numero da caixa;nome da caixa;numero da pasta;nome da pasta;numero serie;;;;;;;;;;;;
1;BRFM_AM_06_005;1;13;;126;Ensaio relacionado ao livro Brasilian Art IV.;Arte em Minas: Roteiro;;;;;Frederico Morais;Português;15 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 32.05;;2;2;;;5;;;;;;;;;;;;
1;BRFM_AM_07_001;1;14;;13;"Livro ""O Brasil na Visão do Artista: O País e sua Cultura"".";O Brasil na Visão do Artista - O País e sua Cultura;;;;;Frederico Morais;Português;1 página;;;;;Textual;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 33.01;;2;2;;;1;;;;;;;;;;;;
1;BRFM_AM_07_002;1;14;;99;"Roteiro referente ao livro ""O Artista Brasileiro e a Cultura"". Em anexo reprodução de obras e exemplar de roteiro enviado a Célia de Assis da Editora Prêmio Editorial.";;;;;;Frederico Morais;Português;17 páginas;;;;;Textual, Iconográfico;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 33.02;;2;2;;;2;;;;;;;;;;;;
1;BRFM_AM_07_003;1;14;;96;"Livro ""O Brasil na Visão do Artista: A Natureza e as Artes Plásticas"".";Frederico Morais;;2002-11-12;;;André Seffrin;Português;1 página;Rio de Janeiro, RJ;98;;;Textual;Cópia;1;Impresso;3;31,00 x 30,00 cm;Manchado, oxidado, Dobrado;Doc. 33.03;;2;2;;;3;;;;;;;;;;;;
1;BRFM_AM_07_004;1;14;;13;"Livro ""O Brasil na Visão do Artista: O País e sua Gente"". Em anexo tópicos principais da obra e carta de Célia de Assis da Editora Prêmio Editorial.";;;2002-10-11;;;Frederico Morais;Português;3 páginas;;;;;Textual, Iconográfico;Cópia;1;Impresso;#N/D;"21,00 x 29,5,00 cm; 21,00 x 33,5,00 cm";Oxidado;Doc. 34.01;;2;2;;;4;;;;;;;;;;;;
1;BRFM_AM_07_005;1;14;;37;"Textos sobre o livro ""O Brasil na Visão do Artista - O País e sua Gente"".";Relatório da Assessoria de Imprensa e Divulgação - Clipping Impresso;;1905-06-24;;;;Português;16 páginas;;;;;Textual;Cópia;1;Impresso;3;"21,00 x 29,5,00 cm; 21,00 x 31,5,00 cm";Oxidado;Doc. 34.02;;2;2;;;5;;;;;;;;;;;;
1;BRFM_AM_07_006;1;14;;99;"Roteiro referente à série de livros ""O Brasil na Visão do Artista"".";Gente brasileira;;;;;Frederico Morais;Português;26 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 34.03;;2;2;;;6;;;;;;;;;;;;
1;BRFM_AM_07_007;1;14;;40;"Lançamento do livro ""O Brasil na Visão do Artista: A Natureza e as Artes Plásticas"", realizado no Espaço Cultural Sudameris. Em anexo cópia de capa e folha de identificação de documentos.";O Brasil na Visão do Artista: A Natureza e as Artes Plásticas;;2001-12-05;;;Frederico Morais;Português;4 páginas;São Paulo, SP;;;;Textual;Original;1;Impresso;3;"20,00 x 28,00 cm; 21,00 x 29,5,00 cm";Bom;Doc. 35.01;;2;2;;;7;;;;;;;;;;;;
1;BRFM_AM_07_008;1;14;;99;"Roteiro referente à série de livros ""O Brasil na Visão do Artista"".";Arte e natureza no Brasil;;2001-01-30;;;Frederico Morais;Português;7 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 35.02;;2;2;;;8;;;;;;;;;;;;
1;BRFM_AM_07_009;1;14;;80;"Referente à série de livros ""O Brasil na Visão do Artista"".";Os artistas e a cultura brasileira: notas;;;;;Frederico Morais;Português;78 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc.36.01;;2;2;;;9;;;;;;;;;;;;
1;BRFM_AM_07_010;1;14;;80;"Referente à série de livros ""O Brasil na Visão do Artista"".";"Arte dos loucos; Cultura de Massa";;;;;Frederico Morais;Português;8 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc.36.02;;2;2;;;10;;;;;;;;;;;;
1;BRFM_AM_07_011;1;14;;14;"Referente à série de livros ""O Brasil na Visão do Artista"".";;;1905-06-24;;;;Português;4 páginas;;;;;Textual;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc.36.03;;2;2;;;11;;;;;;;;;;;;
1;BRFM_AM_08_001;1;15;;65;"Referente ao livro ""Marilia Kranz"". Em anexo cópia de capa e convite para p lançamento do livro realizado no Museu de Arte Moderna do Rio de Janeiro - MAM/RJ.";Marilia Kranz;;1905-06-29;;;Frederico Morais;Português;3 páginas;Rio de Janeiro, RJ;;;;Textual;"Original; cópia";1;Impresso;3;"21,00 x 29,5,00 cm; 21,00 x 11,5,00 cm";Bom;Doc. 37.01;;2;2;;;1;;;;;;;;;;;;
1;BRFM_AM_08_002;1;15;;126;Exposição da artista plástica Marilia Kranz. Em anexo cronologia com vida e obra da artista.;Marilia Kranz 1968-1974: relevos e esculturas;;;;;Frederico Morais;Português;2 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 37.02;;2;2;;;2;;;;;;;;;;;;
1;BRFM_AM_08_003;1;15;;96;Lançamento de livro e abertura de exposição da artista plástica Marilia Kranz.;A obra no topo da estante de Marilia Kranz;;2007-12-03;;;Suzana Velasco;Português;1 página;Rio de Janeiro, RJ;9;;;Textual;Original;1;Impresso;1;31,00 x 27,5,00 cm;Papel Acidificado/Amarelado, Manchado, Dobrado;Doc. 37.03;;2;2;;;3;;;;;;;;;;;;
1;BRFM_AM_09_001;1;16;;13;"Livro ""Frederico Morais"" que integra a Coleção Pensamento Crítico. Em anexo folha com informações sobre a obra. ";Frederico Morais;;1905-06-26;;;;Português;2 páginas;;;;;Textual, Iconográfico;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 38;;2;2;;;1;;;;;;;;;;;;
1;BRFM_AM_10_001;1;17;;13;"Referente à série de livros ""João Câmara - Trilogia"". Em anexo folha com informações sobre os livros e carta a João Câmara.";João Câmara - Trilogia;;1905-06-25;;;Frederico Morais;Português;4 páginas;Rio de Janeiro, RJ;;;;Textual, Iconográfico;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 39;;2;2;;;1;;;;;;;;;;;;
1;BRFM_AM_10_002;1;17;;99;Sobre a obra do artista plástico João Câmara.;Roteiro Crítico;;;;;Frederico Morais;Português;5 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 40.02;;2;2;;;2;;;;;;;;;;;;
1;BRFM_AM_10_003;1;17;;6;"Sobre a série ""Cenas da Vida Brasileira"", do artista plástico João Cãmara.";"""Cenas da Vida Brasileira"", 1974/1980";;;;;Frederico Morais;Português;12 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Manchado, Oxidado ;Doc. 40.03;;2;2;;;3;;;;;;;;;;;;
